#-----------------------------------------------------------------------------#
~~~~~~                 3D EASYCAE @ VINIICUS CAMPOS, 2021               ~~~~~~~
~~~~~~    Mechanical studY Finite Element Method in PYthon - MYFEMPY    ~~~~~~~
~~~~~~ MODULO DE SIMULACAO ESTRUTURAL PELO METODO DOS ELEMENTOS FINITOS ~~~~~~~
~~~~~~                      ARQUIVO DE SAIDA DE DADOS                   ~~~~~~~
#-----------------------------------------------------------------------------#


Number of Nodes in Solution Mesh: 150 

Number of Elements in Solution Mesh: 150 

Coord. Nodes ListNode	   CoordX	   CoordY	   CoordZ	
 112.0	0.0	780.0000000000146	0.0
 113.0	0.0	760.0000000000159	0.0
 114.0	0.0	740.0000000000173	0.0
 115.0	0.0	720.0000000000185	0.0
 116.0	0.0	700.0000000000199	0.0
 117.0	0.0	680.0000000000213	0.0
 118.0	0.0	660.0000000000225	0.0
 119.0	0.0	640.0000000000239	0.0
 120.0	0.0	620.0000000000252	0.0
 121.0	0.0	600.0000000000266	0.0
 122.0	0.0	580.000000000028	0.0
 123.0	0.0	560.0000000000293	0.0
 124.0	0.0	540.0000000000307	0.0
 125.0	0.0	520.000000000032	0.0
 126.0	0.0	500.0000000000221	0.0
 127.0	0.0	479.9999999999681	0.0
 128.0	0.0	459.9999999999693	0.0
 129.0	0.0	439.9999999999706	0.0
 130.0	0.0	419.9999999999719	0.0
